Intel Xeon E5 1630 v4;Broadwell;2011;14;3.700;4.000;0,0,10
AMD Ryzen 5 5600X;Zen 2;4;7;3.700;4.600;0,3,32
AMD Epyc 7002;Zen 2;3;7;2.400;3.300;0,0,253
Intel Core i 5-8500;sky lake;1151;14;3.000;4.200;1,5,9
